GEOROC-ID,authors,journal article,title,article reference,Data Collection Article doi,in ISI Web of Science? (Y/N),How many merged citation records?,WoS Cited by how many?,COMMENTS,Dropbox filenames (for multiple files or multiple citations),Google Scholar search term,Search Results,imported to Mendeley?
13690," VALVERDE-VAQUERO P., MARCOS A., FARIAS P., GALLASTEGUI G.",GEOL. ACTA 3 [2005] 27-37 ,U-PB DATING OF ORDOVICIAN FELSICH VOLCANISM IN THE SCHISTOSE DOMAIN OF THE GALICIA-TRAS-OS-MONTES ZONE NEAR CABO ORTEGAL (NW SPAIN)," VALVERDE-VAQUERO P., MARCOS A., FARIAS P., GALLASTEGUI G.. U-PB DATING OF ORDOVICIAN FELSICH VOLCANISM IN THE SCHISTOSE DOMAIN OF THE GALICIA-TRAS-OS-MONTES ZONE NEAR CABO ORTEGAL (NW SPAIN). GEOL. ACTA 3 [2005] 27-37 ",,y,1,13,,,"GEOROC13690 OR ""GEOROC 13690""",0
12195," LAI YONG, LIU YULIN, HUANG BAOLING, CHEN YANJING",ACTA PETROL. SINICA (YANSHI-XUEBAO) 21 [2005] 1373-1381 ,"THE CHARACTERISTICS OF NOBLE GASES IN MANTLE-DERIVED XENOLITHS IN WUDALIANCHI AND KUANDIAN, NE CHINA"," LAI YONG, LIU YULIN, HUANG BAOLING, CHEN YANJING. THE CHARACTERISTICS OF NOBLE GASES IN MANTLE-DERIVED XENOLITHS IN WUDALIANCHI AND KUANDIAN, NE CHINA. ACTA PETROL. SINICA (YANSHI-XUEBAO) 21 [2005] 1373-1381 ",,y,1,6,,,"GEOROC12195 OR ""GEOROC 12195""",0
7526," SAVOV I. P., RYAN J. G., D^ANTONIO M., KELLEY K., MATTIE P.",GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000777) [2005] ,"GEOCHEMISTRY OF SERPENTINIZED PERIDOTITES FROM THE MARIANA FOREARC CONICAL SEAMOUNT, ODP LEG 125: IMPLICATIONS FOR THE ELEMENTAL RECYCLING AT SUBDUCTION ZONES"," SAVOV I. P., RYAN J. G., D^ANTONIO M., KELLEY K., MATTIE P.. GEOCHEMISTRY OF SERPENTINIZED PERIDOTITES FROM THE MARIANA FOREARC CONICAL SEAMOUNT, ODP LEG 125: IMPLICATIONS FOR THE ELEMENTAL RECYCLING AT SUBDUCTION ZONES. GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000777) [2005] ",10.1029/2004GC000777,y,8,34,,,"GEOROC7526 OR ""GEOROC 7526""",0
11417," KECHID S. A., MEGARTSI M.",BULL. SERV. GEOL. ALGERIE 16 [2005] 127-149 ,"PETROGENESIS OF MAFIC XENOLITHS AND ULTRAMAFIC MELILITE-BEARING LAVAS OF IN TERIA (ILLIZI, ALGERIA)"," KECHID S. A., MEGARTSI M.. PETROGENESIS OF MAFIC XENOLITHS AND ULTRAMAFIC MELILITE-BEARING LAVAS OF IN TERIA (ILLIZI, ALGERIA). BULL. SERV. GEOL. ALGERIE 16 [2005] 127-149 ",,n,,,,,"GEOROC11417 OR ""GEOROC 11417""",0
7510," CLASS C., GOLDSTEIN S. L., STUTE M., KURZ M. D., SCHLOSSER P.",EARTH PLANET. SCI. LETT. 233 [2005] 391-409 ,GRAND COMORE ISLAND: A WELL-CONSTRAINED ^LOW 3HE/4HE^ MANTLE PLUME," CLASS C., GOLDSTEIN S. L., STUTE M., KURZ M. D., SCHLOSSER P.. GRAND COMORE ISLAND: A WELL-CONSTRAINED ^LOW 3HE/4HE^ MANTLE PLUME. EARTH PLANET. SCI. LETT. 233 [2005] 391-409 ",10.1016/j.epsl.2005.02.029,y,1,3,,,"GEOROC7510 OR ""GEOROC 7510""",0
7527,"SHARP W. D., RENNE P. R.",GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000846) [2005] ,"THE 40AR/39AR DATING OF CORE RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT (PHASE 2), HILO, HAWAII","SHARP W. D., RENNE P. R.. THE 40AR/39AR DATING OF CORE RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT (PHASE 2), HILO, HAWAII. GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000846) [2005] ",10.1029/2004GC000846,y,5,30,,,"GEOROC7527 OR ""GEOROC 7527""",0
8501,"GURENKO A. A., TRUMBULL R. B., THOMAS R., LINDSAY J. M.",J. PETROL. 46 [2005] 2495-2526 ,"A MELT INCLUSION RECORD OF VOLATILES, TRACE ELEMENTS AND LI-B ISOTOPE VARIATIONS IN A SINGLE MAGMA SYSTEM FROM THE PLAT PAYS VOLCANIC COMPLEX, DOMINICA, LESSER ANTILLES","GURENKO A. A., TRUMBULL R. B., THOMAS R., LINDSAY J. M.. A MELT INCLUSION RECORD OF VOLATILES, TRACE ELEMENTS AND LI-B ISOTOPE VARIATIONS IN A SINGLE MAGMA SYSTEM FROM THE PLAT PAYS VOLCANIC COMPLEX, DOMINICA, LESSER ANTILLES. J. PETROL. 46 [2005] 2495-2526 ",10.1093/petrology/egi063,y,2,7,,,"GEOROC8501 OR ""GEOROC 8501""",0
7978,"WANG YUEJUN, FAN WEI-MING, PENG TOUPING, ZHANG HONG-FU, GUO FENG",CHEM. GEOL. 220 [2005] 165-189 ,"NATURE OF THE MESOZOIC LITHOSPHERIC MANTLE AND TECTONIC DECOUPLING BENEATH THE DABIE OROGEN, CENTRAL CHINA: EVIDENCE FROM 40AR/39AR GEOCHRONOLOGY, ELEMENTAL AND SR-ND-PB ISOTOPIC COMPOSITIONS OF EARLY CRETACEOUS MAFIC IGNEOUS ROCKS","WANG YUEJUN, FAN WEI-MING, PENG TOUPING, ZHANG HONG-FU, GUO FENG. NATURE OF THE MESOZOIC LITHOSPHERIC MANTLE AND TECTONIC DECOUPLING BENEATH THE DABIE OROGEN, CENTRAL CHINA: EVIDENCE FROM 40AR/39AR GEOCHRONOLOGY, ELEMENTAL AND SR-ND-PB ISOTOPIC COMPOSITIONS OF EARLY CRETACEOUS MAFIC IGNEOUS ROCKS. CHEM. GEOL. 220 [2005] 165-189 ",10.1016/j.chemgeo.2005.02.020,y,1,45,,,"GEOROC7978 OR ""GEOROC 7978""",0
7866,"HARANGI S., MASON P. R. D., LUKACS R.",J. VOLCANOL. GEOTHERM. RES. 143 [2005] 237-257 ,"CORRELATION AND PETROGENESIS OF SILICIC PYROCLASTIC ROCKS IN THE NORTHERN PANNONIAN BASIN, EASTERN-CENTRAL EUROPE: IN SITU TRACE ELEMENT DATA OF GLASS SHARDS AND MINERAL CHEMICAL CONSTRAINTS","HARANGI S., MASON P. R. D., LUKACS R.. CORRELATION AND PETROGENESIS OF SILICIC PYROCLASTIC ROCKS IN THE NORTHERN PANNONIAN BASIN, EASTERN-CENTRAL EUROPE: IN SITU TRACE ELEMENT DATA OF GLASS SHARDS AND MINERAL CHEMICAL CONSTRAINTS. J. VOLCANOL. GEOTHERM. RES. 143 [2005] 237-257 ",10.1016/j.jvolgeores.2004.11.012 ,y,1,10,,,"GEOROC7866 OR ""GEOROC 7866""",0
8743, PAUL DALIM K.,J. ASIAN EARTH SCI. 25 [2005] 903-913 ,"PETROLOGY AND GEOCHEMISTRY OF THE SALMA DIKE, RANIGANJ COALFIELD (LOWER GONDWANA), EASTERN INDIA: LINKAGE WITH RAJMAHAL OR DECCAN VOLCANIC ACTIVITY?"," PAUL DALIM K.. PETROLOGY AND GEOCHEMISTRY OF THE SALMA DIKE, RANIGANJ COALFIELD (LOWER GONDWANA), EASTERN INDIA: LINKAGE WITH RAJMAHAL OR DECCAN VOLCANIC ACTIVITY?. J. ASIAN EARTH SCI. 25 [2005] 903-913 ",10.1016/j.jseaes.2004.09.007 ,y,1,2,,,"GEOROC8743 OR ""GEOROC 8743""",0
