index number,summary,url,Dropbox name,article reference,Article DOI,in ISI Web of Science? (Y/N),How many merged citation records?,WoS Cited by how many?,# WoS Cited by collected?,COMMENTS,Dropbox filenames (for multiple files or multiple citations),Google Scholar query,GS relevant results
33,"Published: PL B622,249 Preprint: CERN-PH-EP/2005-004 (Spires ID: 6279813)",http://hepdata.cedar.ac.uk/view/p378,p378,"P. Achard et al. Phys.Lett.B622:249-264,2005",10.1016/j.physletb.2005.07.028,Y,2,5,3,,,"HEPData AND ""p378""",0
34,"Published: ZETF 130,437 Preprint: HEP-EX/0506076 (Spires ID: 6270557)",http://hepdata.cedar.ac.uk/view/p1345,p1345,"M.N. Achasov et al. J.Exp.Theor.Phys.101:1053-1070,2005, Zh.Eksp.Teor.Fiz.101:1201-1219,2005. ",10.1134/1.2163921,Y,1,23,15,,,"HEPData AND ""p1345""",0
35,"Published: PR D73,032002 Preprint: KEK-PREPRINT-2005-34 (Spires ID: 6265367)",http://hepdata.cedar.ac.uk/view/p1931,p1931,"R. Seuster et al. Phys.Rev.D73:032002,2006. e-Print: hep-ex/0506068",10.1103/PhysRevD.73.032002,Y,1,34,30,,,"HEPData AND ""p1931""",0
36,"Published: PL B630,14 Preprint: HEP-EX/0506059 (Spires ID: 6264131)",http://hepdata.cedar.ac.uk/view/p1344,p1344,"M. Ablikim et al. Phys.Lett.B630:14-20,2005.",10.1016/j.physletb.2005.09.044,Y,1,14,10,,,"HEPData AND ""p1344""",0
37,"Published: PRL 95,182001 Preprint: NUCL-EX/0506015 (Spires ID: 6250726)",http://hepdata.cedar.ac.uk/view/p3097,p3097,"T. Mibe et al. Phys.Rev.Lett.95:182001,2005.",10.1103/PhysRevLett.95.182001,Y,1,40,35,,,"HEPData AND ""p3097""",0
38,"Published: PRL 95,142002 Preprint: NUCL-EX/0506005 (Spires ID: 6241492)",http://hepdata.cedar.ac.uk/view/p3096,p3096,"K. Kramer et al. Phys.Rev.Lett.95:142002,2005. ",10.1103/PhysRevLett.95.142002,Y,1,23,15,,,"HEPData AND ""p3096""",0
39,"Published: PR C73,045205 Preprint: CLAS-NOTE-2005-001 (Spires ID: 6239706)",http://hepdata.cedar.ac.uk/view/p6847,p6847,"M. Osipenko et al. Phys.Rev.C73:045205,2006. ",10.1103/PhysRevC.73.045205,Y,1,11,7,,,"HEPData AND ""p6847""",0
40,"Published: PR D72,032002 Preprint: FERMILAB-PUB-05-220-E (Spires ID: 6237886)",http://hepdata.cedar.ac.uk/view/p1122,p1122,"Darin E. Acosta et al. Phys.Rev.D72:032002,2005. ",10.1103/PhysRevD.72.032002,Y,1,21,20,,,"HEPData AND ""p1122""",0
41,"Published: PL B626,55 Preprint: FERMILAB-PUB-05-217-E (Spires ID: 6232027)",http://hepdata.cedar.ac.uk/view/p1121,p1121,"V.M. Abazov et al. Phys.Lett.B626:55-64,2005. ",10.1016/j.physletb.2005.08.105,Y,1,16,14,,,"HEPData AND ""p1121""",0
42,"Published: EPJ C44,1 Preprint: DESY-05-065 (Spires ID: 6225110)",http://hepdata.cedar.ac.uk/view/p734,p734,"A. Aktas et al. Eur.Phys.J.C44:1-11,2005. ",10.1140/epjc/s2005-02345-3,Y,1,69,53,,,"HEPData AND ""p734""",0
43,"Published: PR D71,112002 Preprint: FERMILAB-PUB-05-156-E (Spires ID: 6217184)",http://hepdata.cedar.ac.uk/view/p7594,p7594,"Darin E. Acosta et al. Phys.Rev.D71:112002,2005. ",10.1103/PhysRevD.71.112002,Y,1,15,12,,,"HEPData AND ""p7594""",0
44,"Published: EPJ C44,13 Preprint: DESY-05-071 (Spires ID: 6215580)",http://hepdata.cedar.ac.uk/view/p735,p735,"S. Chekanov et al. Eur.Phys.J.C44:13-25,2005. ",10.1140/epjc/s2005-02346-2,Y,1,17,14,,,"HEPData AND ""p735""",0
45,"Published: PL B626,35 Preprint: FERMILAB-PUB-05-087-E (Spires ID: 6210473)",http://hepdata.cedar.ac.uk/view/p7948,p7948,"V.M. Abazov et al. Phys.Lett.B626:35-44,2005.",10.1016/j.physletb.2005.08.103,Y,1,32,30,,,"HEPData AND ""p7948""",0
46,"Published: EPJ A24,445 Preprint: hep-ex/0504057 (Spires ID: 6210465)",http://hepdata.cedar.ac.uk/view/p992,p992,"L. Morand et al. Eur.Phys.J.A24:445-458,2005.",10.1140/epja/i2005-10032-4,Y,1,14,13,,,"HEPData AND ""p992""",0
47,"Published: PR D72,052003 Preprint: FERMILAB-PUB-05-161-E (Spires ID: 6209408)",http://hepdata.cedar.ac.uk/view/p1120,p1120,"Darin E. Acosta et al. Phys.Rev.D72:052003,2005. ",10.1103/PhysRevD.72.052003,Y,1,22,20,,,"HEPData AND ""p1120""",0
48,"Published: PR D72,052001 Preprint: FERMILAB-PUB-05-078-E (Spires ID: 6206751)",http://hepdata.cedar.ac.uk/view/p1118,p1118,"Darin E. Acosta et al. Phys.Rev.D72:052001,2005. ",10.1103/PhysRevD.72.052001,Y,1,15,15,,,"HEPData AND ""p1118""",0
